id,name,type,leaderName,toon2Name,toon3Name,toon4Name,toon5Name,subs,description,counterStrategy,leaderReq,toon2Req,toon3Req,toon4Req,toon5Req,offensiveCounterNum,defensiveCounterNum,stratNeeded
ROGUE_ONE,Rogue One,both,Jyn Erso,Cassian Andor,K-2SO,Chirrut Îmwe,Baze Malbus,"Bistan, C-3PO, Scarif Rebel Pathfinder, Han Solo + Chewbacca","Team with heal, protection recovery (if zJyn Erso), lot of debuffs, and Chaze (Chirrut Îmwe and Baze Malbus) make this a formidable team.","Killing Chirrut Îmwe will stop the heal over time [or stop with Buff Immunity using Jedi Knight Anakin].  Need to dispel Baze's taunt while removing Chirrut's protection and focusing on Chirrut hard. [Veers Mass attack] Also try to avoid the debuffs from Cassian, K-2SO and Baze. [tenacity up/ high tenacity] another option is simply anti-rebel power [Wampa, DK, DT] or let them stack their heal over time buffs then use Boba's Execute.",TRUE,TRUE,TRUE,,,0,7,FALSE
ROGUE_ONE_3v3,Rogue One,defense,Jyn Erso,Cassian Andor,K-2SO,,,,,,TRUE,TRUE,TRUE,,,,,
ROGUE_ONE_3v3_CHAZE,Rogue One (w/ Chaze),defense,Jyn Erso,Chirrut Îmwe,Baze Malbus,,,,,,TRUE,TRUE,TRUE,,,,,
SEP_DROIDS,Separatist Droids,defense,General Grievous,B1 Battle Droid,Droideka,B2 Super Battle Droid,IG-100 MagnaGuard,"Nute Gunray, Count Dooku, IG-88, BB-8, Imperial Probe Droid, T3-M4, L3-37, Wat Tambor","Frequent dispels and target lock.  Kill General Grievous as early as possible, he has high damage, puts mark on other droid allies to make himself hard to focus on, and has stacking max health.  High turn meter gains with zetas from B2 and B1.  Can also have high armor penetration if built with IG88 and T3M4.",Kill B2 Super Battle Droid or General Grievous first.,TRUE,TRUE,TRUE,TRUE,,13,9,FALSE
SEP_DROIDS_3v3,Separatist Droids,offense,General Grievous,B1 Battle Droid,B2 Super Battle Droid,,,,,,TRUE,TRUE,TRUE,,,,,
SEP_DROIDS_NONGRIEVIOUS_3v3,Separatist Droids (Non-Grievious L),,BB-8,General Grievous,T3-M4,,,,,,TRUE,TRUE,,,,,,
SEP_NUTE_3v3_GRIEVOUSDROIDEKA,Separatists (Nute L w/ Grievous),offense,Nute Gunray,General Grievous,Droideka,,,,,,TRUE,TRUE,TRUE,,,,,
SEP_NUTE,Separatists (Nute L),offense,Nute Gunray,Count Dooku,Asajj Ventress,,,Any leftover Separatists,,,TRUE,TRUE,TRUE,,,,,
SEP_NUTE_3v3,Separatists (Nute L),defense,Nute Gunray,Droideka,IG-100 MagnaGuard,,,,,,TRUE,,,,,,,
SITH_MAUL,Sith (Maul L),offense,Darth Maul,Savage Opress,Sith Empire Trooper,Sith Assassin,Count Dooku,Any leftover Sith,"Stealthy team with mass dispel of debuffs, fast turn meter gain, first turn advantage, and lots of AoE.  Dazing Maul is effective.",Cleanse and deal big damage with single-hitters.,TRUE,TRUE,,,,5,7,FALSE
SITH_EMPIRE_3v3_JKRKILLER,Sith Empire (JKR Killer),offense,Darth Traya,Darth Nihilus,Grand Admiral Thrawn,,,,,,TRUE,TRUE,TRUE,,,,,
SITH_EMPIRE_W_MALAK,Sith Empire (w/ Malak),defense,Darth Revan,Darth Malak,Bastila Shan (Fallen),HK-47,Sith Empire Trooper,"Sith Assassin, Sith Marauder, Grand Admiral Thrawn, Grand Master Yoda, Kylo Ren (Unmasked), Nightsister Zombie + Mother Talzin, Shoretrooper","Immunity to turn meter reduction + stops turn meter gain = speed meta.  Super fast, built on lot of debuffs, high offensive power, anti-Jedi, and focuses on the leader often.","Outspeed them, use the mass debuffs for your own good, or just very high offensive capabilities.  On toons like Jedi Knight Anakin, it's crucial to use right timing.  Kill Bastila Shan (Fallen) first.",TRUE,TRUE,TRUE,TRUE,,4,8,FALSE
SITH_EMPIRE_3v3_W_MALAK,Sith Empire (w/ Malak),defense,Darth Revan,Bastila Shan (Fallen),Darth Malak,,,,,,TRUE,TRUE,TRUE,,,,,
SITH_EMPIRE_WO_MALAK,Sith Empire (w/o Malak),defense,Darth Revan,Bastila Shan (Fallen),HK-47,Sith Empire Trooper,Sith Assassin,"Sith Assassin, Sith Marauder, Grand Admiral Thrawn, Grand Master Yoda, Kylo Ren (Unmasked), Nightsister Zombie + Mother Talzin, Shoretrooper","Immunity to turn meter reduction + stops turn meter gain = speed meta.  Super fast, built on lot of debuffs, high offensive power, anti-Jedi, and focuses on the leader often.","Outspeed them, use the mass debuffs for your own good, or just very high offensive capabilities.  On toons like Jedi Knight Anakin, it's crucial to use right timing.  Kill Bastila Shan (Fallen) first.",TRUE,TRUE,TRUE,,,2,11,FALSE
SITH_EMPIRE_3v3_WO_MALAK,Sith Empire (w/o Malak),offense,Darth Revan,HK-47,Sith Marauder,,,,,,TRUE,TRUE,,,,,,
SITH_TRI,Sith Triumvirate,offense,Darth Traya,Darth Sion,Darth Nihilus,Sith Empire Trooper,Grand Admiral Thrawn,"Bastila Shan (Fallen), Count Dooku, Emperor Palpatine, Sith Assassin, Enfys Nest, Grand Moff Tarkin (L), Darth Vader, Any leftover Sith","Defensive lead that cripples the other team (Isolate, Pain, debuff removal).","Need better offensive capabilities than Traya's defense capabilities. There's no escape from annihilate, isolate or fracture. Just kill them before Darth Nihilus starts his groove by dealing huge amount of damage.  This team has big damage with turn meter gain / turn meter removal.  Normal kill order should be stun Thrawn then kill Bastila Shan (Fallen) (if used), Traya, Thrawn, Palpatine (if used), Sion, Nihilus, then whoever is left.",TRUE,TRUE,TRUE,,,13,11,FALSE
SITH_TRI_3v3,Sith Triumvirate,offense,Darth Traya,Darth Sion,Darth Nihilus,,,,,,TRUE,TRUE,,,,,,
THRAWN_3v3,Thrawn L,offense,Grand Admiral Thrawn,Wampa,Death Trooper,,,"Enfys Nest for Wampa, Shoretrooper for Death Trooper",,,TRUE,,,,,,,
THRAWN_3v3_SHOREDEATH,Thrawn L (w / Shoretrooper and Death Trooper),offense,Grand Admiral Thrawn,Shoretrooper,Death Trooper,,,,,,TRUE,TRUE,TRUE,,,,,
THRAWN_3v3_HANCHEWIE,Thrawn L (w/ Han + Chewie),offense,Grand Admiral Thrawn,Han Solo,Chewbacca,,,,,,TRUE,TRUE,TRUE,,,,,
IT_THRAWN,Thrawn Troopers,offense,Grand Admiral Thrawn,Range Trooper,Death Trooper,Shoretrooper,,Fill in last slot with an Imperial Trooper or Empire,,,TRUE,TRUE,TRUE,TRUE,,5,0,FALSE
WAMPA_SOLO,Wampa (solo),offense,Wampa,,,,,"Additions can include: CT-7567 ""Rex"" (L), Hermit Yoda, Darth Nihilus, Mother Talzin, Baze Malbus + Chirrut Îmwe, R2-D2, Enfys Nest, Han Solo + Chewbacca, General Kenobi, Barriss Offee, Visas Marr, Obi-Wan Kenobi (Old Ben), Sun Fac, First Order Officer",,,TRUE,,,,,8,0,FALSE
ZADER,Zader,offense,Darth Vader,Wampa,Grand Moff Tarkin,Darth Sidious,Boba Fett,"zBarriss Offee (for long fights), Mission + Zaalbar, Canderous Ordo, Sith Empire Trooper/Shoretrooper/Stormtrooper, Mother Talzin",,,TRUE,TRUE,,,,3,0,FALSE
